question,op1,op2,op3,op4,image_url,audio_url,ans
What are the dying words of Charles Foster Kane in Citizen Kane?,Rose,Roses,Rosebud,5,,,Rosebud
What year was the first Toy Story film released in cinemas?,1998,2000,1996,1995,,,1995
"Who directed Titanic, Avatar and The Terminator?",Boyz n the Hood, Kylie Jenner, Paul Rudd, James Cameron,,, James Cameron
Which three films make up what is known as the Three Flavours Cornetto Trilogy?,Another Day of Sun, Dolly Parton," Despite being nominated 6 times, he has only won once – in 2016 for The Revenant"," Shaun of the Dead, Hot Fuzz, The World’s End",,," Shaun of the Dead, Hot Fuzz, The World’s End"
Who directed Parasite – the first foreign-language film to win the Academy Award for Best Picture?,Avengers: Endgame, Idris Elba,Nicholas Hoult, Bong Joon-ho,,, Bong Joon-ho
Which Oscar-winning actress is the voice of Helen Parr (Elastigirl) in The Incredibles?," East of Eden, Rebel Without a Cause and Giant",Jamie Bell,The Blind Side, Holly Hunter,,, Holly Hunter
Name the 2015 film spinoff to the Rocky series starring Michael B. Jordan.,Hans Zimmer,"When We All Fall Asleep, Where Do We Go?",Jamaica, Creed,,, Creed
Meryl Streep won a Best Actress BAFTA for which 2011 political drama?,2000, Iggy Azalea,Gone with the Wind,The Iron Lady,,,The Iron Lady
"BD Wong voices Captain Li Shang in the animated musical Mulan, but which 70’s teen heartthrob provided the character’s singing voice?", Santa’s Super Sleigh,Matt Lucas, Joni Mitchell,Donny Osmond,,,Donny Osmond
Which actor broke two toes whilst filming The Lord of the Rings: The Two Towers?, Frasier, Iggy Azalea, Michael Gambon,"Viggo Mortensen, whilst kicking a helmet.",,,"Viggo Mortensen, whilst kicking a helmet."
 Name the three movies in which Meg Ryan and Tom Hanks have starred together.,Winter is Coming,Matt Lucas, A box of chocolates," Joe Versus the Volcano (1990), Sleepless in Seattle (1993) and You’ve Got Mail (1998)",,," Joe Versus the Volcano (1990), Sleepless in Seattle (1993) and You’ve Got Mail (1998)"
What is the highest-grossing box office film of all time?, The Woolpack,True Romance, Pulp Fiction, Avengers: Endgame,,, Avengers: Endgame
Russell Crowe turned down the role of which character in Peter Jackson’s Lord of the Rings trilogy?, Jess and Max, Dr Ian Malcolm, Goldmember,Aragorn,,,Aragorn
How many films have Kate Winslet and Leonardo DiCaprio starred in together?, Stranger Things, Dr Ian Malcolm, Ron Burgundy,"Two (Titanic, Revolutionary Road)",,,"Two (Titanic, Revolutionary Road)"
Name the film which boasts the famous line: “You can’t handle the truth!”, Baltimore,"Six - Sean Connery, George Lazenby, Roger Moore, Timothy Dalton, Pierce Brosnan and Daniel Craig", Obi-Wan Kenobi – the club at the start of the film is called Club Obi-Wan,A Few Good Men,,,A Few Good Men
What is the first word spoken in Star Wars: The Empire Strikes Back?,"52,101","Twice, Schindler's List (1994) and Saving Private Ryan (1999)", Rick Blaine, Echo,,, Echo
Who has won the most Oscars for acting in the history of the Academy Awards?, Jesse Pinkman,Rosebud," Alan Smithee is an official pseudonym used by directors when they want to disown a film – in other words, Alan Smithee is credited as director"," Katherine Hepburn – 4, Morning Glory (1933) Guess Who’s Coming to Dinner (1967) The Lion in Winter (1968) On Golden Pond (1981)",,," Katherine Hepburn – 4, Morning Glory (1933) Guess Who’s Coming to Dinner (1967) The Lion in Winter (1968) On Golden Pond (1981)"
Which 1995 submarine drama featured uncredited additional dialogue courtesy of Quentin Tarantino?, Rosebud,The money, He played a young prostitute in Oscar Wilde biopic Wilde, Crimson Tide,,, Crimson Tide
